food_name,category,calories,protein,carbs,fat,fiber,sugar,sodium,potassium,vitamin_c,calcium,iron,is_indian,region,cooking_method,spice_level,protein_ratio,fat_ratio,carb_ratio,health_score,diabetic_friendly,heart_friendly,weight_loss_friendly,muscle_gain_friendly,bmi_friendly_category
Sweet potato tots,Fried vegetables,191.0,2.26,37.3,9.35,0.0,0.0,0.0,0.0,7.5,0.0,0.81,False,International,Various,Mild,0.046,0.191,0.763,38.9,False,True,False,False,moderate_density
"Potato, boiled, NFS","White potatoes, baked or boiled",126.0,1.87,20.45,4.25,0.0,0.0,0.0,0.0,12.1,0.0,0.34,False,International,Various,Mild,0.07,0.16,0.77,43.8,True,True,False,False,low_density
"Potato chips, NFS",Potato chips,532.0,6.39,53.83,33.98,0.0,0.0,0.0,0.0,21.6,0.0,1.28,False,International,Various,Mild,0.068,0.361,0.571,29.5,False,False,False,False,high_density
"Potato chips, plain",Potato chips,532.0,6.39,53.83,33.98,0.0,0.0,0.0,0.0,21.6,0.0,1.28,False,International,Various,Mild,0.068,0.361,0.571,29.5,False,False,False,False,high_density
"Potato chips, unsalted",Potato chips,537.0,6.25,59.66,30.3,0.0,0.0,0.0,0.0,22.6,0.0,1.19,False,International,Various,Mild,0.065,0.315,0.62,33.0,False,False,False,False,high_density
"Potato sticks, flavored",Potato chips,517.0,6.63,52.77,34.06,0.0,0.0,0.0,0.0,46.8,0.0,2.25,False,International,Various,Mild,0.071,0.364,0.565,35.2,False,False,False,False,high_density
"Bread, sweet potato",Yeast breads,241.0,8.64,45.38,2.87,0.0,0.0,0.0,0.0,4.1,0.0,3.14,False,International,Various,Mild,0.152,0.05,0.798,63.9,False,True,False,False,moderate_density
"Pie, sweet potato",Cakes and pies,269.0,4.96,41.08,9.75,0.0,0.0,0.0,0.0,10.3,0.0,1.06,False,International,Various,Mild,0.089,0.175,0.736,47.2,False,True,False,False,moderate_density
Sweet potato chips,"Tortilla, corn, other chips",529.0,2.92,56.54,32.19,0.0,0.0,0.0,0.0,0.0,0.0,2.11,False,International,Various,Mild,0.032,0.351,0.617,16.6,False,False,False,False,high_density
Sweet potato paste,"Jams, syrups, toppings",305.0,0.49,75.14,0.34,0.0,0.0,0.0,0.0,3.9,0.0,0.16,False,International,Various,Mild,0.006,0.004,0.989,41.9,False,True,False,False,moderate_density
"Sweet potato, candied",Other red and orange vegetables,187.0,1.18,37.69,3.48,0.0,0.0,0.0,0.0,9.3,0.0,0.31,False,International,Various,Mild,0.028,0.082,0.89,41.9,False,True,False,False,moderate_density
"Sweet potato, NFS",Other red and orange vegetables,115.0,1.58,17.14,4.53,0.0,0.0,0.0,0.0,12.4,0.0,0.4,False,International,Various,Mild,0.068,0.195,0.737,42.7,True,True,False,False,low_density
"Sweet potato tots, school",Fried vegetables,192.0,2.27,37.45,9.39,0.0,0.0,0.0,0.0,7.5,0.0,0.81,False,International,Various,Mild,0.046,0.191,0.763,38.9,False,True,False,False,moderate_density
"Sweet potato, casserole or mashed",Other red and orange vegetables,99.0,1.89,17.22,2.56,0.0,0.0,0.0,0.0,10.4,0.0,0.34,False,International,Various,Mild,0.087,0.118,0.795,45.2,True,True,False,False,low_density
"Bread, sweet potato, toasted",Yeast breads,265.0,9.5,49.87,3.15,0.0,0.0,0.0,0.0,3.8,0.0,3.45,False,International,Various,Mild,0.152,0.05,0.798,66.1,False,True,False,False,moderate_density
"Sweet potato fries, frozen",Fried vegetables,192.0,2.27,37.45,9.39,0.0,0.0,0.0,0.0,7.5,0.0,0.81,False,International,Various,Mild,0.046,0.191,0.763,38.9,False,True,False,False,moderate_density
"Sweet potato fries, NFS",Fried vegetables,192.0,2.27,37.45,9.39,0.0,0.0,0.0,0.0,7.5,0.0,0.81,False,International,Various,Mild,0.046,0.191,0.763,38.9,False,True,False,False,moderate_density
"Sweet potato fries, school",Fried vegetables,192.0,2.27,37.45,9.39,0.0,0.0,0.0,0.0,7.5,0.0,0.81,False,International,Various,Mild,0.046,0.191,0.763,38.9,False,True,False,False,moderate_density
"Sweet potato leaves, raw",Vegetables and Vegetable Products,175.0,2.49,8.82,0.51,0.0,0.0,0.0,0.0,11.0,0.0,0.97,False,International,Various,Mild,0.211,0.043,0.746,49.2,True,True,False,False,moderate_density
"Sweet potato, canned, mashed",Vegetables and Vegetable Products,101.0,1.98,23.2,0.2,0.0,0.0,0.0,0.0,5.2,0.0,1.33,False,International,Various,Mild,0.078,0.008,0.914,46.8,True,True,False,False,low_density
"Sweet potato, cooked, as ingredient",Not included in a food category,82.0,1.65,18.05,0.4,0.0,0.0,0.0,0.0,13.1,0.0,0.42,False,International,Various,Mild,0.082,0.02,0.898,47.2,True,True,False,False,low_density
"Tomatoes, raw",Tomatoes,20.0,0.82,4.04,0.31,0.0,0.0,0.0,0.0,16.3,0.0,0.22,False,International,Various,Mild,0.159,0.06,0.781,45.4,True,True,False,False,low_density
Guacamole with tomatoes,"Dips, gravies, other sauces",145.0,1.87,8.09,13.09,0.0,0.0,0.0,0.0,10.5,0.0,0.52,False,International,Various,Mild,0.081,0.568,0.351,34.6,True,False,False,False,low_density
"Soup, tomato","Soups, broth-based",19.0,0.65,3.64,0.41,0.0,0.0,0.0,0.0,5.9,0.0,0.44,False,International,Various,Mild,0.138,0.087,0.774,42.7,True,True,False,False,low_density
"Tomatoes, scalloped",Vegetable dishes,110.0,2.7,14.1,4.97,0.0,0.0,0.0,0.0,12.2,0.0,0.89,False,International,Various,Mild,0.124,0.228,0.648,45.6,True,True,False,False,low_density
"Tomato products, canned, sauce, with tomato tidbits",Vegetables and Vegetable Products,134.0,1.32,7.09,0.39,0.0,0.0,0.0,0.0,21.5,0.0,0.68,False,International,Various,Mild,0.15,0.044,0.806,47.9,True,True,False,False,low_density
Sun-dried tomatoes,Tomatoes,258.0,14.11,55.76,2.97,0.0,0.0,0.0,0.0,39.2,0.0,9.09,False,International,Various,Mild,0.194,0.041,0.766,87.2,False,True,False,True,moderate_density
"Tomatoes, red, ripe, canned, packed in tomato juice",Vegetables and Vegetable Products,16.0,0.79,3.47,0.25,0.0,0.0,0.0,0.0,12.6,0.0,0.57,False,International,Various,Mild,0.175,0.055,0.769,44.6,True,True,False,False,low_density
Fried green tomatoes,Fried vegetables,216.0,3.68,21.78,12.84,0.0,0.0,0.0,0.0,6.2,0.0,1.64,False,International,Various,Mild,0.096,0.335,0.569,39.4,True,False,False,False,moderate_density
Tomato juice cocktail,Vegetable juice,22.0,0.93,3.87,0.31,0.0,0.0,0.0,0.0,54.3,0.0,0.28,False,International,Various,Mild,0.182,0.061,0.757,53.3,True,True,False,False,low_density
"Rice, white, with tomatoes and/or tomato-based sauce, fat added",Rice mixed dishes,107.0,2.0,19.41,2.18,0.0,0.0,0.0,0.0,4.1,0.0,0.97,False,International,Various,Mild,0.085,0.092,0.823,44.6,True,True,False,False,low_density
"Tomatoes, canned, cooked",Tomatoes,43.0,0.82,3.23,3.04,0.0,0.0,0.0,0.0,12.2,0.0,0.56,False,International,Various,Mild,0.116,0.429,0.456,41.9,True,True,False,False,low_density
"Tomatoes, fresh, cooked",Tomatoes,50.0,1.08,4.71,3.42,0.0,0.0,0.0,0.0,15.8,0.0,0.33,False,International,Various,Mild,0.117,0.371,0.511,43.0,True,True,False,False,low_density
Bacon and tomato dressing,Salad dressings and vegetable oils,326.0,1.8,2.0,35.0,0.0,0.0,0.0,0.0,8.8,0.0,0.27,False,International,Various,Mild,0.046,0.902,0.052,12.2,True,False,False,False,moderate_density
"Beans and rice, with tomatoes","Bean, pea, legume dishes",137.0,4.7,21.9,3.46,0.0,0.0,0.0,0.0,1.5,0.0,1.46,False,International,Various,Mild,0.156,0.115,0.729,50.9,True,True,False,False,low_density
Pork with chili and tomatoes,Meat mixed dishes,95.0,11.64,2.68,3.99,0.0,0.0,0.0,0.0,16.7,0.0,0.58,False,International,Various,Mild,0.636,0.218,0.146,74.3,True,True,False,False,low_density
"Soup, cream of tomato","Soups, cream-based",70.0,1.21,6.39,4.68,0.0,0.0,0.0,0.0,6.0,0.0,0.6,False,International,Various,Mild,0.099,0.381,0.52,40.2,True,True,False,False,low_density
"Soup, tomato, canned","Soups, broth-based",34.0,0.63,7.65,0.33,0.0,0.0,0.0,0.0,2.8,0.0,0.44,False,International,Various,Mild,0.073,0.038,0.889,42.1,True,True,False,False,low_density
Stewed potatoes with tomatoes,Mashed potatoes and white potato mixtures,87.0,1.71,12.89,3.29,0.0,0.0,0.0,0.0,15.1,0.0,0.36,False,International,Various,Mild,0.096,0.184,0.721,44.9,True,True,False,False,low_density
"Onions, raw",Onions,38.0,0.86,8.46,0.08,0.0,0.0,0.0,0.0,8.2,0.0,0.24,False,International,Various,Mild,0.091,0.009,0.9,44.1,True,True,False,False,low_density
"Bread, onion",Yeast breads,238.0,8.81,44.32,2.95,0.0,0.0,0.0,0.0,0.9,0.0,3.11,False,International,Various,Mild,0.157,0.053,0.79,63.7,False,True,False,False,moderate_density
"Onions, green, raw",Onions,32.0,1.83,7.34,0.19,0.0,0.0,0.0,0.0,18.8,0.0,1.48,False,International,Various,Mild,0.196,0.02,0.784,49.1,True,True,False,False,low_density
"Onions, green, cooked",Onions,63.0,2.09,8.37,3.21,0.0,0.0,0.0,0.0,18.2,0.0,1.69,False,International,Various,Mild,0.153,0.235,0.612,46.7,True,True,False,False,low_density
"Onions, pearl, cooked",Onions,50.0,0.7,6.49,2.59,0.0,0.0,0.0,0.0,4.9,0.0,0.33,False,International,Various,Mild,0.072,0.265,0.664,40.5,True,True,False,False,low_density
"Onion dip, regular","Dips, gravies, other sauces",346.0,2.15,3.92,35.77,0.0,0.0,0.0,0.0,0.9,0.0,0.1,False,International,Various,Mild,0.051,0.855,0.094,10.9,True,False,False,False,moderate_density
"Onion dip, light","Dips, gravies, other sauces",166.0,2.0,11.87,12.36,0.0,0.0,0.0,0.0,0.9,0.0,0.1,False,International,Various,Mild,0.076,0.471,0.453,33.8,True,False,False,False,moderate_density
"Bread, onion, toasted",Yeast breads,262.0,9.68,48.7,3.24,0.0,0.0,0.0,0.0,0.8,0.0,3.41,False,International,Various,Mild,0.157,0.053,0.79,66.0,False,True,False,False,moderate_density
"DENNY'S, onion rings",Restaurant Foods,385.0,5.29,41.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.74,False,International,Various,Mild,0.077,0.324,0.599,33.7,False,False,False,False,high_density
Fried onion rings,Fried vegetables,352.0,4.19,39.94,19.82,0.0,0.0,0.0,0.0,1.5,0.0,0.96,False,International,Various,Mild,0.066,0.31,0.625,33.0,False,False,False,False,high_density
Onion flavored rings,"Tortilla, corn, other chips",499.0,7.7,65.1,22.6,0.0,0.0,0.0,0.0,1.8,0.0,3.72,False,International,Various,Mild,0.081,0.237,0.682,40.9,False,False,False,False,high_density
"Onions, cooked, as ingredient",Not included in a food category,47.0,1.29,10.99,0.12,0.0,0.0,0.0,0.0,7.4,0.0,0.25,False,International,Various,Mild,0.104,0.01,0.886,45.2,True,True,False,False,low_density
"Onions, dehydrated flakes",Vegetables and Vegetable Products,349.0,8.95,83.3,0.46,0.0,0.0,0.0,0.0,75.0,0.0,1.55,False,International,Various,Mild,0.097,0.005,0.899,81.4,False,True,False,False,moderate_density
"Onions, for use on a sandwich",Vegetables on a sandwich,38.0,0.86,8.46,0.08,0.0,0.0,0.0,0.0,8.2,0.0,0.24,False,International,Various,Mild,0.091,0.009,0.9,44.1,True,True,False,False,low_density
"Onions, red, raw",Vegetables and Vegetable Products,44.0,0.94,9.93,0.1,0.0,0.0,0.0,0.0,8.1,0.0,0.24,False,International,Various,Mild,0.086,0.009,0.905,44.3,True,True,False,False,low_density
"Onions, sweet, raw",Vegetables and Vegetable Products,32.0,0.8,7.55,0.08,0.0,0.0,0.0,0.0,4.8,0.0,0.26,False,International,Various,Mild,0.095,0.009,0.896,43.3,True,True,False,False,low_density
"Onions, welsh, raw",Vegetables and Vegetable Products,142.0,1.9,6.5,0.4,0.0,0.0,0.0,0.0,27.0,0.0,1.22,False,International,Various,Mild,0.216,0.045,0.739,50.7,True,True,False,False,low_density
"Onions, white, raw",Vegetables and Vegetable Products,35.0,0.89,7.68,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.15,False,International,Various,Mild,0.102,0.015,0.883,42.5,True,True,False,False,low_density
"Onions, yellow, raw",Vegetables and Vegetable Products,38.0,0.83,8.61,0.05,0.0,0.0,0.0,0.0,8.2,0.0,0.28,False,International,Various,Mild,0.087,0.005,0.907,44.1,True,True,False,False,low_density
Garlic sauce,"Dips, gravies, other sauces",683.0,1.43,2.87,74.02,0.0,0.0,0.0,0.0,1.0,0.0,0.22,False,International,Various,Mild,0.018,0.945,0.037,0.0,True,False,False,False,high_density
"Garlic, cooked",Mustard and other condiments,142.0,6.58,28.03,0.38,0.0,0.0,0.0,0.0,8.0,0.0,1.69,False,International,Various,Mild,0.188,0.011,0.801,61.0,False,True,False,False,low_density
"Garlic, raw",Mustard and other condiments,143.0,6.62,28.2,0.38,0.0,0.0,0.0,0.0,10.0,0.0,1.7,False,International,Various,Mild,0.188,0.011,0.801,61.5,False,True,False,False,low_density
"Roll, garlic",Rolls and buns,309.0,10.84,51.92,6.44,0.0,0.0,0.0,0.0,0.2,0.0,3.71,False,International,Various,Mild,0.157,0.093,0.75,66.1,False,True,False,False,moderate_density
"Garlic bread, frozen",Baked Products,1460.0,8.36,41.7,16.6,0.0,0.0,0.0,0.0,0.2,0.0,3.05,False,International,Various,Mild,0.125,0.249,0.626,48.5,False,False,False,False,high_density
"Garlic bread, NFS",Yeast breads,349.0,8.34,41.64,16.58,0.0,0.0,0.0,0.0,0.2,0.0,3.04,False,International,Various,Mild,0.125,0.249,0.626,48.5,False,False,False,False,moderate_density
"Garlic bread, from frozen",Yeast breads,350.0,8.36,41.72,16.61,0.0,0.0,0.0,0.0,0.2,0.0,3.05,False,International,Various,Mild,0.125,0.249,0.626,48.5,False,False,False,False,high_density
"PIZZA HUT, breadstick, parmesan garlic",Fast Foods,1430.0,12.2,44.5,12.9,0.0,0.0,0.0,0.0,0.0,0.0,4.65,False,International,Various,Mild,0.175,0.185,0.639,63.7,False,False,False,True,high_density
"Garlic bread, from fast food / restaurant",Yeast breads,349.0,8.34,41.64,16.58,0.0,0.0,0.0,0.0,0.2,0.0,3.04,False,International,Various,Mild,0.125,0.249,0.626,48.5,False,False,False,False,moderate_density
"Garlic bread, with melted cheese, from frozen",Yeast breads,343.0,10.36,36.86,17.1,0.0,0.0,0.0,0.0,0.2,0.0,2.68,False,International,Various,Mild,0.161,0.266,0.573,54.0,False,False,False,False,moderate_density
"Garlic bread, with parmesan cheese, from frozen",Yeast breads,351.0,8.78,41.14,16.83,0.0,0.0,0.0,0.0,0.2,0.0,3.0,False,International,Various,Mild,0.132,0.252,0.616,49.6,False,False,False,False,high_density
"Shrimp in garlic sauce, Puerto Rican style",Seafood mixed dishes,281.0,11.56,2.45,24.96,0.0,0.0,0.0,0.0,12.0,0.0,0.41,False,International,Various,Mild,0.297,0.64,0.063,52.1,True,False,False,False,moderate_density
"Garlic bread, with parmesan cheese, from fast food / restaurant",Yeast breads,351.0,8.76,41.06,16.8,0.0,0.0,0.0,0.0,0.2,0.0,2.99,False,International,Various,Mild,0.131,0.252,0.616,49.5,False,False,False,False,high_density
"Garlic bread, with melted cheese, from fast food / restaurant",Yeast breads,339.0,11.41,34.21,17.34,0.0,0.0,0.0,0.0,0.2,0.0,2.48,False,International,Various,Mild,0.181,0.275,0.543,56.9,False,False,False,False,moderate_density
"Fast foods, breadstick, soft, prepared with garlic and parmesan cheese",Fast Foods,1430.0,12.2,44.5,12.9,0.0,0.0,0.0,0.0,0.0,0.0,4.65,False,International,Various,Mild,0.175,0.185,0.639,63.7,False,False,False,True,high_density
"HORMEL ALWAYS TENDER, Pork Loin Filets, Lemon Garlic-Flavored",Pork Products,492.0,17.8,1.79,4.16,0.0,0.0,0.0,0.0,1.7,0.0,0.6,False,International,Various,Mild,0.749,0.175,0.075,89.6,True,True,False,True,high_density
"Abiyuch, raw",Fruits and Fruit Juices,290.0,1.5,17.6,0.1,0.0,0.0,0.0,0.0,54.1,0.0,1.61,False,International,Various,Mild,0.078,0.005,0.917,55.2,True,True,False,False,moderate_density
Dal Tadka,Lentils,120.0,7.0,18.0,4.0,8.0,2.0,400.0,250.0,5.0,30.0,2.0,True,North,Pressure Cook,Medium,0.241,0.138,0.621,90.0,True,False,True,False,low_density
Butter Chicken,Non-Veg,280.0,25.0,5.0,20.0,1.0,3.0,600.0,350.0,8.0,40.0,15.0,True,North,Grill,Medium,0.5,0.4,0.1,89.6,True,False,False,True,moderate_density
Palak Paneer,Veg,220.0,14.0,8.0,18.0,4.0,2.0,450.0,200.0,25.0,200.0,12.0,True,North,Sauté,Mild,0.35,0.45,0.2,80.5,True,False,False,True,moderate_density
Chicken Biryani,Non-Veg,320.0,28.0,35.0,15.0,2.0,5.0,800.0,400.0,10.0,60.0,18.0,True,South,Dum,Spicy,0.359,0.192,0.449,100.0,False,False,False,True,moderate_density
Aloo Gobi,Veg,140.0,3.0,15.0,10.0,5.0,3.0,300.0,150.0,30.0,25.0,8.0,True,North,Sauté,Mild,0.107,0.357,0.536,61.0,True,True,True,False,low_density
Masoor Dal,Lentils,110.0,8.0,19.0,2.0,7.0,1.0,350.0,280.0,2.0,25.0,3.0,True,North,Boil,Medium,0.276,0.069,0.655,91.9,True,True,True,False,low_density
Fish Curry,Non-Veg,180.0,22.0,6.0,8.0,1.0,2.0,700.0,380.0,15.0,45.0,20.0,True,South,Curry,Spicy,0.611,0.222,0.167,95.0,True,False,False,True,moderate_density
Chole Bhature,Veg,380.0,12.0,45.0,22.0,8.0,6.0,900.0,200.0,12.0,80.0,25.0,True,North,Deep Fry,Medium,0.152,0.278,0.57,75.4,False,False,False,True,high_density
Tandoori Chicken,Non-Veg,240.0,30.0,3.0,12.0,0.0,1.0,650.0,420.0,20.0,35.0,25.0,True,North,Grill,Spicy,0.667,0.267,0.067,100.0,True,False,False,True,moderate_density
Vegetable Pulao,Veg,200.0,5.0,32.0,8.0,3.0,4.0,500.0,180.0,15.0,35.0,10.0,True,North,Steam,Mild,0.111,0.178,0.711,52.0,False,False,True,False,moderate_density
Rajma,Lentils,130.0,8.0,21.0,3.0,9.0,2.0,400.0,300.0,4.0,40.0,4.0,True,North,Pressure Cook,Medium,0.25,0.094,0.656,98.8,True,False,True,False,low_density
Baingan Bharta,Veg,100.0,2.0,12.0,7.0,6.0,5.0,250.0,120.0,8.0,20.0,6.0,True,North,Roast,Medium,0.095,0.333,0.571,58.1,True,True,True,False,low_density
Chicken Tikka,Non-Veg,220.0,26.0,4.0,10.0,1.0,2.0,580.0,380.0,18.0,45.0,22.0,True,North,Grill,Spicy,0.65,0.25,0.1,100.0,True,False,False,True,moderate_density
Paneer Tikka,Veg,260.0,18.0,6.0,20.0,2.0,3.0,480.0,220.0,12.0,180.0,15.0,True,North,Grill,Mild,0.409,0.455,0.136,75.6,True,False,False,True,moderate_density
Dosa,Snacks,180.0,4.0,28.0,8.0,3.0,1.0,400.0,150.0,2.0,20.0,8.0,True,South,Pan Fry,Mild,0.1,0.2,0.7,53.4,False,False,True,False,moderate_density
Idli,Snacks,120.0,6.0,25.0,2.0,4.0,1.0,200.0,80.0,1.0,15.0,2.0,True,South,Steam,Mild,0.182,0.061,0.758,72.2,False,True,True,False,low_density
Vada,Snacks,220.0,8.0,20.0,15.0,3.0,2.0,450.0,120.0,3.0,25.0,12.0,True,South,Deep Fry,Medium,0.186,0.349,0.465,56.1,True,False,False,False,moderate_density
Samosa,Snacks,260.0,6.0,28.0,16.0,3.0,3.0,600.0,140.0,15.0,30.0,15.0,True,North,Deep Fry,Mild,0.12,0.32,0.56,48.0,False,False,False,False,moderate_density
Pakora,Snacks,240.0,8.0,22.0,18.0,4.0,2.0,550.0,130.0,20.0,35.0,18.0,True,North,Deep Fry,Medium,0.167,0.375,0.458,60.5,True,False,False,False,moderate_density
Kheer,Dessert,220.0,6.0,30.0,12.0,1.0,20.0,180.0,120.0,2.0,120.0,8.0,True,North,Simmer,Mild,0.125,0.25,0.625,9.6,False,False,False,False,moderate_density
Gulab Jamun,Dessert,350.0,5.0,55.0,15.0,2.0,35.0,120.0,80.0,5.0,60.0,12.0,True,North,Deep Fry,Mild,0.067,0.2,0.733,0.0,False,False,False,False,high_density
Rasgulla,Dessert,180.0,4.0,40.0,2.0,0.0,35.0,80.0,60.0,8.0,80.0,2.0,True,East,Boil,Mild,0.087,0.043,0.87,0.0,False,True,False,False,moderate_density
Jalebi,Dessert,320.0,4.0,60.0,12.0,1.0,45.0,200.0,90.0,3.0,45.0,15.0,True,North,Deep Fry,Mild,0.053,0.158,0.789,0.0,False,False,False,False,moderate_density
Roti,Bread,270.0,9.0,50.0,4.0,8.0,2.0,380.0,180.0,0.0,25.0,2.0,True,North,Pan Cook,Mild,0.143,0.063,0.794,95.2,False,True,False,False,moderate_density
Naan,Bread,310.0,10.0,55.0,6.0,3.0,4.0,420.0,200.0,1.0,30.0,3.0,True,North,Tandoor,Mild,0.141,0.085,0.775,67.0,False,False,False,False,moderate_density
Paratha,Bread,320.0,8.0,42.0,18.0,5.0,3.0,600.0,220.0,2.0,35.0,4.0,True,North,Pan Fry,Mild,0.118,0.265,0.618,59.4,False,False,False,False,moderate_density
Puri,Bread,340.0,8.0,38.0,20.0,3.0,2.0,450.0,160.0,0.0,20.0,6.0,True,North,Deep Fry,Mild,0.121,0.303,0.576,50.5,False,False,False,False,moderate_density
Bhatura,Bread,380.0,10.0,42.0,22.0,4.0,3.0,700.0,180.0,1.0,25.0,8.0,True,North,Deep Fry,Mild,0.135,0.297,0.568,55.2,False,False,False,False,high_density
Upma,Breakfast,180.0,6.0,28.0,8.0,4.0,2.0,350.0,120.0,5.0,25.0,8.0,True,South,Sauté,Mild,0.143,0.19,0.667,63.5,False,True,True,False,moderate_density
Poha,Breakfast,160.0,4.0,30.0,6.0,3.0,4.0,280.0,100.0,8.0,20.0,6.0,True,West,Sauté,Mild,0.1,0.15,0.75,51.8,False,True,True,False,moderate_density
Dhokla,Snacks,140.0,8.0,24.0,4.0,2.0,6.0,320.0,140.0,2.0,15.0,4.0,True,West,Steam,Mild,0.222,0.111,0.667,55.2,False,True,True,False,low_density
Khandvi,Snacks,120.0,10.0,18.0,6.0,2.0,3.0,380.0,160.0,1.0,25.0,5.0,True,West,Steam,Mild,0.294,0.176,0.529,64.4,True,True,True,False,low_density
Thepla,Bread,280.0,12.0,32.0,16.0,6.0,4.0,520.0,200.0,3.0,45.0,8.0,True,West,Pan Fry,Medium,0.2,0.267,0.533,77.4,False,False,False,True,moderate_density
Khakhra,Bread,320.0,14.0,48.0,12.0,8.0,2.0,450.0,180.0,2.0,35.0,6.0,True,West,Roast,Mild,0.189,0.162,0.649,100.0,False,False,False,True,moderate_density
Handvo,Snacks,220.0,12.0,28.0,10.0,5.0,5.0,420.0,160.0,8.0,40.0,12.0,True,West,Bake,Mild,0.24,0.2,0.56,78.4,False,False,False,True,moderate_density
Muthia,Snacks,180.0,8.0,20.0,12.0,8.0,4.0,380.0,140.0,12.0,30.0,10.0,True,West,Steam,Mild,0.2,0.3,0.5,82.6,True,False,True,False,moderate_density
Undhiyu,Veg,160.0,5.0,20.0,8.0,6.0,8.0,320.0,180.0,25.0,35.0,15.0,True,West,Steam,Mild,0.152,0.242,0.606,62.8,False,True,True,False,moderate_density
Kadhi,Veg,120.0,6.0,14.0,6.0,2.0,4.0,280.0,120.0,5.0,80.0,3.0,True,West,Simmer,Mild,0.231,0.231,0.538,52.2,True,True,True,False,low_density
Shrikhand,Dessert,240.0,8.0,32.0,12.0,0.0,28.0,120.0,100.0,2.0,150.0,4.0,True,West,Chill,Mild,0.154,0.231,0.615,0.0,False,False,False,False,moderate_density
Basundi,Dessert,260.0,10.0,28.0,14.0,0.0,25.0,140.0,120.0,1.0,180.0,6.0,True,West,Simmer,Mild,0.192,0.269,0.538,4.8,False,False,False,False,moderate_density
Pav Bhaji,Veg,240.0,8.0,32.0,12.0,6.0,8.0,680.0,220.0,45.0,40.0,12.0,True,West,Sauté,Medium,0.154,0.231,0.615,68.2,False,False,False,False,moderate_density
Misal Pav,Veg,200.0,12.0,24.0,8.0,8.0,6.0,720.0,280.0,35.0,60.0,18.0,True,West,Curry,Spicy,0.273,0.182,0.545,95.8,False,False,True,True,moderate_density
Vada Pav,Snacks,280.0,10.0,26.0,18.0,4.0,4.0,650.0,160.0,15.0,35.0,15.0,True,West,Deep Fry,Medium,0.185,0.333,0.481,60.5,False,False,False,False,moderate_density
Bhel Puri,Snacks,160.0,4.0,28.0,6.0,4.0,12.0,480.0,140.0,20.0,25.0,8.0,True,West,Mix,Mild,0.105,0.158,0.737,41.2,False,False,True,False,moderate_density
Sev Puri,Snacks,220.0,6.0,24.0,14.0,3.0,8.0,520.0,120.0,18.0,30.0,10.0,True,West,Mix,Medium,0.136,0.318,0.545,41.4,False,False,False,False,moderate_density
Ragda Patties,Snacks,200.0,8.0,26.0,10.0,6.0,6.0,580.0,160.0,25.0,40.0,12.0,True,West,Sauté,Medium,0.182,0.227,0.591,71.2,False,False,True,False,moderate_density
Sabudana Khichdi,Breakfast,180.0,4.0,32.0,6.0,2.0,4.0,240.0,80.0,3.0,15.0,4.0,True,West,Sauté,Mild,0.095,0.143,0.762,46.2,False,True,True,False,moderate_density
Thalipeeth,Bread,260.0,12.0,30.0,14.0,8.0,3.0,420.0,180.0,5.0,45.0,10.0,True,West,Pan Fry,Medium,0.214,0.25,0.536,92.8,False,False,False,True,moderate_density
Kolambi Bhaat,Non-Veg,220.0,18.0,28.0,8.0,2.0,2.0,520.0,320.0,8.0,35.0,15.0,True,West,Steam,Medium,0.333,0.148,0.519,88.4,False,False,False,True,moderate_density
Kombdi Vade,Non-Veg,280.0,22.0,24.0,16.0,3.0,1.0,580.0,380.0,12.0,45.0,20.0,True,West,Deep Fry,Spicy,0.355,0.258,0.387,99.6,True,False,False,True,moderate_density
Malvani Fish,Non-Veg,200.0,24.0,6.0,10.0,1.0,1.0,640.0,420.0,18.0,50.0,25.0,True,West,Curry,Spicy,0.6,0.25,0.15,100.0,True,False,False,True,moderate_density
Sol Kadhi,Veg,60.0,2.0,8.0,4.0,2.0,6.0,180.0,200.0,15.0,40.0,2.0,True,West,Simmer,Mild,0.143,0.286,0.571,41.2,False,True,True,False,low_density
Amti,Lentils,110.0,7.0,17.0,3.0,6.0,2.0,320.0,240.0,3.0,30.0,3.0,True,West,Boil,Medium,0.259,0.111,0.63,81.4,True,True,True,False,low_density
Puran Poli,Bread,300.0,8.0,48.0,12.0,6.0,18.0,280.0,140.0,2.0,25.0,8.0,True,West,Pan Fry,Mild,0.118,0.176,0.706,43.6,False,False,False,False,moderate_density
Modak,Dessert,280.0,6.0,38.0,14.0,3.0,22.0,160.0,100.0,5.0,35.0,8.0,True,West,Steam,Mild,0.103,0.241,0.655,14.4,False,False,False,False,moderate_density
Karanji,Dessert,320.0,8.0,40.0,18.0,4.0,25.0,180.0,120.0,8.0,40.0,10.0,True,West,Deep Fry,Mild,0.121,0.273,0.606,15.8,False,False,False,False,moderate_density
Chirote,Dessert,340.0,6.0,42.0,20.0,2.0,28.0,200.0,90.0,1.0,30.0,12.0,True,West,Deep Fry,Mild,0.088,0.294,0.618,0.0,False,False,False,False,moderate_density
Appam,Bread,180.0,4.0,32.0,6.0,3.0,4.0,280.0,120.0,1.0,20.0,6.0,True,South,Pan Fry,Mild,0.095,0.143,0.762,50.4,False,True,True,False,moderate_density
Puttu,Bread,200.0,6.0,30.0,8.0,4.0,2.0,320.0,140.0,2.0,25.0,8.0,True,South,Steam,Mild,0.136,0.182,0.682,63.2,False,True,True,False,moderate_density
